time,frequency,confidence
46.750,293.346,0.554416
46.800,292.905,0.683595
46.850,292.385,0.862573
46.900,292.368,0.632820
46.950,293.094,0.919706
47.000,292.158,0.483012
47.050,292.925,0.707852
47.100,293.419,0.760912
47.150,292.333,0.265627
47.200,293.543,0.359610
47.250,292.691,0.684563
47.300,295.313,0.893101
47.350,292.820,0.652079
47.400,294.444,0.659158
47.450,292.981,0.682221
47.500,292.537,0.734732
47.550,293.961,0.826330
47.600,294.098,0.893467
47.650,292.766,0.595343
47.700,292.472,0.726371
47.750,293.960,0.663179
47.800,292.243,0.802176
47.850,293.710,0.664953
47.900,292.295,0.561965
47.950,293.625,0.491863
48.000,289.569,0.535418
48.050,292.354,0.741613
48.100,291.158,0.647040
48.150,292.869,0.769673
48.200,291.418,0.798299
48.250,295.434,0.509227
48.300,291.948,0.888157
48.350,292.923,0.575923
48.400,293.569,0.519923
48.450,293.691,0.412316
48.500,293.468,0.678833
48.550,294.107,0.693950
48.600,291.466,0.222391
48.650,291.318,0.725009
48.700,293.135,0.592755
48.750,291.972,0.660803
48.800,293.248,0.674569
48.850,293.642,0.773488
48.900,291.738,0.573251
48.950,292.484,0.669871
49.000,293.360,0.866000
49.050,293.713,0.775235
49.100,294.390,0.606749
49.150,292.682,0.681528
49.200,289.927,0.572298
49.250,292.972,0.746266
49.300,292.149,0.676293
49.350,294.300,0.653029
49.400,293.331,0.647050
49.450,292.784,0.433291
49.500,292.627,0.662544
49.550,292.510,0.830710
49.600,292.916,0.693801
49.650,291.915,0.803976
49.700,292.589,0.894522
49.750,292.501,0.838262
49.800,293.267,0.427978
49.850,302.509,0.444705
49.900,322.651,0.492449
49.950,349.320,0.282719
50.000,379.888,0.606032
50.050,393.064,0.289789
50.100,442.616,0.480261
50.150,440.466,0.892013
50.200,439.671,0.925564
50.250,440.799,0.758383
50.300,441.393,0.511010
50.350,394.580,0.506993
50.400,384.869,0.391361
50.450,370.313,0.158333
50.500,370.760,0.185896
50.550,325.483,0.410127
50.600,290.943,0.807189
50.650,290.778,0.875403
50.700,292.415,0.560953
50.750,294.985,0.759729
50.800,289.477,0.878636
50.850,291.843,0.561007
50.900,292.549,0.468686
50.950,321.238,0.557845
51.000,369.107,0.343871
51.050,376.734,0.233886
51.100,415.274,0.735859
51.150,440.672,0.889880
51.200,440.459,0.945168
51.250,441.541,0.927566
51.300,440.509,0.395922
51.350,438.246,0.578620
51.400,433.723,0.823443
51.450,426.152,0.395533
51.500,394.829,0.450547
51.550,391.921,0.344973
51.600,390.435,0.537464
51.650,389.067,0.619622
51.700,389.458,0.336028
51.750,388.141,0.810461
51.800,388.870,0.889631
51.850,392.562,0.485512
51.900,432.653,0.274633
51.950,391.451,0.346983
52.000,401.132,0.446684
52.050,434.941,0.399375
52.100,450.659,0.270281
52.150,495.017,0.363560
52.200,475.947,0.873031
52.250,449.393,0.543194
52.300,433.896,0.195898
52.350,441.429,0.375155
52.400,440.791,0.170469
52.450,393.179,0.187986
52.500,396.558,0.440915
52.550,395.620,0.358205
52.600,391.915,0.707477
52.650,393.630,0.847285
52.700,391.186,0.368832
52.750,388.378,0.289605
52.800,395.221,0.408294
52.850,399.953,0.391299
52.900,393.858,0.751014
52.950,395.779,0.253035
53.000,393.190,0.372662
53.050,397.447,0.188237
53.100,402.370,0.285210
53.150,408.299,0.428583
53.200,404.858,0.360908
53.250,403.904,0.297317
53.300,417.121,0.481114
53.350,415.295,0.338254
53.400,393.533,0.366250
53.450,417.380,0.201126
